country_iso3,sector,ggodelta,fd,pdggo
KOR,Leather,-8340,3477.5491847248,-2.189542552599602
KOR,Wood,-263,112.159562695,-2.189291321712225
KOR,Paper,-9954,3855.1186757,-2.189063916042714
KOR,Fuel,-41351,14597.61801893674,-2.18891957546544
KOR,Chemicals,-15999,5537.4954620299995,-2.188741751209232
KOR,Plastics,-3499,1207.3310434163998,-2.1887157561741266
KOR,Minerals,-946,362.40232065199996,-2.1881817504032535
KOR,Metals,-4021,1287.53066318,-2.1874455521650273
KOR,Machinery,-13271,4781.743402810001,-2.1868121933149123
KOR,Electricals,-34656,12933.246219210001,-2.1863565375038267
KOR,Vehicles,-35542,11475.6993161379,-2.1855330265471835
KOR,Manufacturing,-7970,2979.5401709000002,-2.1851007961998685
KOR,Utilities,-34317,11401.63686508,-2.184205471926541
KOR,Construction,-33,14.562331810000002,-2.1836915980592733
KOR,Vehicle Trade,-11188,5526.8226844,-2.18303017969963
KOR,Wholesale Trade,-14559,9116.9005321,-2.181103943871603
KOR,Retail Trade,-84216,47369.4525544,-2.181092440591315
KOR,Hospitality,-91722,37495.840200800005,-2.18090684846603
KOR,Inland Transport,-36797,16262.69330565,-2.1804058045367656
KOR,Water Transport,-894,476.0975313999999,-2.179584100110153
KOR,Air Transport,-4779,2248.042233991,-2.1793390386083265
KOR,Transport Services,-3314,1705.1350448000003,-2.178726805805846
KOR,Communications,-36030,17705.527277,-2.1779527055624803
KOR,Financial Services,-59248,35006.536919497,-2.176559327817158
KOR,Real Estate,-72938,48123.47712833,-2.1758664116375352
KOR,Business Services,-5645,3445.9766999999997,-2.1754993307353736
KOR,Public Services,-128535,77626.82920000001,-2.1752442611967617
KOR,Education,-95950,70512.1177,-2.174770114191742
KOR,Health,-122812,60834.02178,-2.173099143043141
KOR,Other Services,-87658,47189.826689999994,-2.171845473503896
KOR,Private Households,0,0.04409775,-2.171330846239748
CYP,Agriculture,-808,474.753959423,-2.170800934357273
CYP,Mining,-4,2.5493386821902,-2.1707598066660023
CYP,Food,-3525,1677.8701565934941,-2.168660485750456
CYP,Textiles,-907,454.31573702332435,-2.1682153919753424
CYP,Leather,-194,87.3213275548612,-2.1673508550343343
CYP,Wood,-76,40.56876599121,-2.1671093914900625
CYP,Paper,-542,271.579229362,-2.1671046732245673
CYP,Fuel,-89,78.33266692423537,-2.167074183586008
CYP,Chemicals,-878,431.77067421105,-2.167072452790668
CYP,Plastics,-222,111.649415228298,-2.165335015847717
CYP,Minerals,-209,102.87642142917501,-2.163986189784143
CYP,Metals,-351,154.21121780422502,-2.1632623594835234
CYP,Machinery,-306,134.97913154157203,-2.1631606013203157
CYP,Electricals,-176,66.968957501893,-2.1630689376818926
CYP,Vehicles,-1908,682.0373690079077,-2.1618646387845915
CYP,Manufacturing,-502,249.40802077815002,-2.161540161041677
CYP,Utilities,-814,476.28998722570003,-2.1608738222828774
CYP,Construction,-147,89.53631361296,-2.158811861242581
CYP,Vehicle Trade,-531,309.89922636346,-2.1586661943260563
CYP,Wholesale Trade,-1222,796.26733950548,-2.158493101597192
CYP,Retail Trade,-1283,876.9932511966999,-2.158133623063163
CYP,Hospitality,-5116,2759.586391654,-2.1552285556128887
CYP,Inland Transport,-322,225.248110671,-2.153793602267243
CYP,Water Transport,0,0.4998416530899999,-2.1534654084365905
CYP,Air Transport,-385,229.05360470847,-2.153403697676217
CYP,Transport Services,-270,321.5729291134,-2.1533121897216776
CYP,Communications,-425,306.65385273000004,-2.1524240345074777
CYP,Financial Services,-1333,1221.510698315813,-2.1506697373929504
CYP,Real Estate,-4804,3255.2868496373,-2.1495210510102796
CYP,Business Services,-261,195.66389692,-2.148816846041734
CYP,Public Services,-4505,3088.1027852499997,-2.146739598680897
CYP,Education,-1747,1481.2239284672003,-2.1446923416686303
CYP,Health,-2028,1277.4784515444999,-2.1444784336525813
CYP,Other Services,-1846,1220.1079340000001,-2.1442946817383812
CYP,Private Households,-198,198.267249012,-2.143728265690047
BEL,Agriculture,-8824,5027.2552147999995,-2.143199969430424
BEL,Mining,-221,265.660398363,-2.142366102360639
BEL,Food,-51977,21973.09206588,-2.1407290080968386
BEL,Textiles,-9894,4549.446369267001,-2.1398024978129886
BEL,Leather,-1583,746.637548712,-2.139360420294214
BEL,Wood,-832,366.60093376400005,-2.136780826727194
BEL,Paper,-8698,3983.1631938,-2.1353109226148423
BEL,Fuel,-18943,9277.986020859998,-2.1349973426902347
BEL,Chemicals,-18115,8222.575652,-2.134770792079797
BEL,Plastics,-1960,866.08990369,-2.134725515739807
BEL,Minerals,-2058,961.7710055500002,-2.1345426528299516
BEL,Metals,-2464,1033.4708824499999,-2.133776672650055
BEL,Machinery,-5081,2321.42508233,-2.132711280160071
BEL,Electricals,-6916,3366.8908459999993,-2.131573050530776
BEL,Vehicles,-18766,7074.660332731999,-2.130318160490494
BEL,Manufacturing,-8640,4112.232941799999,-2.1280858372605524
BEL,Utilities,-13672,9458.52955497,-2.127937853453975
BEL,Construction,-3232,1360.7281234999998,-2.127155723444508
BEL,Vehicle Trade,-13812,6705.31448248,-2.1258497406055104
BEL,Wholesale Trade,-28224,15551.5759956,-2.1247566118712684
BEL,Retail Trade,-17287,9698.684919739999,-2.1246022292990085
BEL,Hospitality,-21940,12801.51111619,-2.1228233461590857
BEL,Inland Transport,-8149,4571.841727951,-2.12163078219204
BEL,Water Transport,-99,53.708422638500004,-2.121572636896252
BEL,Air Transport,-1312,693.8605320466199,-2.121292749115042
BEL,Transport Services,-19756,11670.180480916,-2.1207198151321798
BEL,Communications,-10627,7051.81492333,-2.120271260488622
BEL,Financial Services,-34017,18824.568695055004,-2.120171966613227
BEL,Real Estate,-59942,41425.0381456038,-2.118411727845058
BEL,Business Services,-12564,7509.359224,-2.1182574994242835
BEL,Public Services,-59709,41590.65816150001,-2.117656406569942
BEL,Education,-37397,31326.2387558,-2.116116485580465
BEL,Health,-80796,48025.99501169999,-2.115297540199577
BEL,Other Services,-25054,13679.95502,-2.115063975907604
BEL,Private Households,-756,756.60203416,-2.1148204026379496
HUN,Agriculture,-7141,3393.8253613,-2.1136421671771912
HUN,Mining,-173,106.33952286028,-2.1134552074462083
HUN,Food,-25617,10444.969102272551,-2.1133042623199847
HUN,Textiles,-3328,1605.5650607815398,-2.1107614491708873
HUN,Leather,-1212,591.7208303137434,-2.1102134005888242
HUN,Wood,-106,49.458753971600004,-2.1078411404442727
HUN,Paper,-3048,1370.0717464900004,-2.1060962059190564
HUN,Fuel,-7248,3456.431350923436,-2.1052346295032445
HUN,Chemicals,-8571,4113.09091969114,-2.1041153388236364
HUN,Plastics,-877,394.74755209584004,-2.103041998431815
HUN,Minerals,-559,257.8157142823,-2.102153846897658
HUN,Metals,-1435,616.2468889388,-2.101499941748569
HUN,Machinery,-2565,1135.86745372904,-2.1014601750389525
HUN,Electricals,-4797,2125.89568747363,-2.101048292322204
HUN,Vehicles,-11023,4263.910799374695,-2.1008777026922347
HUN,Manufacturing,-2925,1341.06400945199,-2.1002558419749375
HUN,Utilities,-12014,5590.983718380001,-2.0986015179040014
HUN,Construction,-1001,478.42172918129995,-2.0976659736337795
HUN,Vehicle Trade,-2424,1274.7338986835,-2.0969604959935313
HUN,Wholesale Trade,-6110,3453.5977941819997,-2.0969236180189217
HUN,Retail Trade,-6489,3609.51042927,-2.0968774212523345
HUN,Hospitality,-9265,4606.40790409,-2.096395768040186
HUN,Inland Transport,-4518,2510.3600764999996,-2.0949584678680737
HUN,Water Transport,-33,33.397155974,-2.0934245814332173
HUN,Air Transport,-1137,610.121542181,-2.0926888324723407
HUN,Transport Services,-1433,987.80297017,-2.092296271143376
HUN,Communications,-3624,2654.26688276,-2.092187848548389
HUN,Financial Services,-4993,3010.0423518385,-2.0913531405557677
HUN,Real Estate,-14954,9175.966675255,-2.08890153994227
HUN,Business Services,-2035,1448.4754891999999,-2.0879281237454386
HUN,Public Services,-20708,14397.172749199999,-2.0864151469152077
HUN,Education,-10162,7347.350616,-2.0852861311116166
HUN,Health,-14621,8532.2565886,-2.0845782550147236
HUN,Other Services,-11155,6704.08337,-2.084311422175023
HUN,Private Households,0,0.008670792,-2.084309881544808
PRT,Agriculture,-9226,5044.44012286,-2.0838343152024494
PRT,Mining,-28,43.15817138999999,-2.080574794536912
PRT,Food,-35162,15058.1821285,-2.0798950594540617
PRT,Textiles,-12377,5758.02688426,-2.0788054332214263
PRT,Leather,-3605,1646.437933215,-2.0776204496795843
PRT,Wood,-680,302.431432073,-2.0773358814676013
PRT,Paper,-4359,1968.2567791999995,-2.0757953027114175
PRT,Fuel,-5916,3700.8157862,-2.0744095985892987
PRT,Chemicals,-12375,5720.52666,-2.0741998973421047
PRT,Plastics,-2124,914.1277307,-2.072790496811155
PRT,Minerals,-1040,517.3534919499999,-2.070861666488765
PRT,Metals,-1796,747.8681401000001,-2.0699991367213695
PRT,Machinery,-2851,1257.97673296,-2.0695862105615275
PRT,Electricals,-4979,2199.20373178,-2.0693646294979025
PRT,Vehicles,-15167,5983.782773509999,-2.0676158854314997
PRT,Manufacturing,-7348,3193.6054683699995,-2.0671313520781496
PRT,Utilities,-11315,5360.624718840001,-2.0668777302000234
PRT,Construction,-800,353.335435509,-2.0656515632255994
PRT,Vehicle Trade,-10165,6361.029132904,-2.0656290988377606
PRT,Wholesale Trade,-16355,9628.7687248,-2.064489412851975
PRT,Retail Trade,-11611,7201.8972078,-2.0642524120931802
PRT,Hospitality,-29126,16279.032113100002,-2.062439055396465
PRT,Inland Transport,-4042,2271.1993923,-2.061188619830257
PRT,Water Transport,-87,47.40361031,-2.0605442593923766
PRT,Air Transport,-1728,969.2538022159999,-2.0603586152570346
PRT,Transport Services,-2968,1942.930998304,-2.0598586443765945
PRT,Communications,-10013,5678.025930500002,-2.0598213837789556
PRT,Financial Services,-13581,9777.2954961531,-2.059760337926715
PRT,Real Estate,-21400,16116.987673567999,-2.059349111181291
PRT,Business Services,-5661,3219.5664829999996,-2.0576142181361603
PRT,Public Services,-33286,23051.395688599998,-2.057403497466806
PRT,Education,-19380,15786.35643645,-2.055377908134759
PRT,Health,-35364,20838.217868999996,-2.0550303868633444
PRT,Other Services,-17043,9157.33002,-2.0541206461196935
PRT,Private Households,-1969,1973.6279767875849,-2.053841505747388
POL,Agriculture,-34057,16339.6887997,-2.0520798295167184
POL,Mining,-3389,2127.41662374,-2.0517749290502976
POL,Food,-96675,38861.853169,-2.0512538506418503
POL,Textiles,-11979,5441.875389000001,-2.0501807903901725
POL,Leather,-4717,2102.8568923000003,-2.0495094858664014
POL,Wood,-2372,988.6143508700001,-2.04923836049944
POL,Paper,-10353,4519.6892292,-2.0491472660858445
POL,Fuel,-11683,5201.7715073,-2.0489276320504173
POL,Chemicals,-27849,12782.235903,-2.0482631976254257
